Inputs,Outputs,Nodes,Skip %,Optimizer,Best Val Acc (%),Best Epoch,Final Val Acc (%),Final Val Loss,CPU Load (%),Memory Used (MB),Memory Free (MB),Start Time,End Time,Avg Time (ns),Average Weight,Edge Count,Learning Rate,Dropout Rate,L2 Lambda,Adam Beta1,Adam Beta2,Adam Epsilon,RMSprop Decay,RMSprop Epsilon,Depth,Total Nodes,Layer Config,Architecture String,Teacher Params,Student Params,Baseline Params
22,2,22N-5N-5N-5N-5N-5N-5N-5N-2N-22N-5N-5N-5N-5N-5N-5N-5N-2N,25.0,Config6,58.5,396,51.5,0.5864933166535061,12.56,182,329,114994807695600,114994813072600,5119319.5,1.70938,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,18,118,"[22, 5, 5, 5, 5, 5, 5, 5, 2, 22, 5, 5, 5, 5, 5, 5, 5, 2]",22n-5n-5n-5n-5n-5n-5n-5n-2o,,655,718
22,2,22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N,25.0,Config5,61.0,192,54.0,0.5241344203899456,12.47,176,335,114988596697300,114988602529600,5345004.5,1.155831,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,32,240,"[22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2]",22n-6n-6n-6n-6n-6n-6n-2o,,689,718
22,2,22N-7N-7N-7N-7N-7N-2N-22N-7N-7N-7N-7N-7N-2N-22N-7N-7N-7N-7N-7N-2N-22N-7N-7N-7N-7N-7N-2N,25.0,Config4,57.49999999999999,491,51.5,0.6527186128061412,12.45,172,339,114982309052400,114982314461300,5522769.5,1.379732,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,28,236,"[22, 7, 7, 7, 7, 7, 2, 22, 7, 7, 7, 7, 7, 2, 22, 7, 7, 7, 7, 7, 2, 22, 7, 7, 7, 7, 7, 2]",22n-7n-7n-7n-7n-7n-2o,,721,718
22,2,22N-8N-8N-8N-8N-2N-22N-8N-8N-8N-8N-2N,25.0,Config3,55.50000000000001,9,51.0,0.6693538424789155,12.48,168,343,114975998996200,114976004061400,5639041.5,1.174025,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,12,112,"[22, 8, 8, 8, 8, 2, 22, 8, 8, 8, 8, 2]",22n-8n-8n-8n-8n-2o,,654,718
22,2,22N-9N-9N-9N-9N-2N-22N-9N-9N-9N-9N-2N,25.0,Config3,59.5,167,50.0,0.6504044229222867,12.16,204,307,131587331021100,131587336046200,5116263.5,1.120325,18,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,12,120,"[22, 9, 9, 9, 9, 2, 22, 9, 9, 9, 9, 2]",22n-9n-9n-9n-9n-2o,,754,718
22,2,22N-10N-10N-10N-2N-22N-10N-10N-10N-2N-22N-10N-10N-10N-2N,25.0,Config2,58.5,1,54.0,0.6377769361239394,12.43,166,345,114969430117700,114969435901100,5869214.5,1.30916,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,15,162,"[22, 10, 10, 10, 2, 22, 10, 10, 10, 2, 22, 10, 10, 10, 2]",22n-10n-10n-10n-2o,,692,718
22,2,22N-11N-11N-11N-2N,25.0,Config2,54.50000000000001,192,44.5,0.5944747322203625,12.27,198,313,90563429315400,90563435907200,7036882.0,1.172581,22,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,5,57,"[22, 11, 11, 11, 2]",22n-11n-11n-11n-2o,,747,718
22,2,22N-14N-14N-2N-22N-14N-14N-2N-22N-14N-14N-2N-22N-14N-14N-2N,25.0,Config1,57.99999999999999,429,50.0,0.6520707654002088,12.56,162,349,114962684784200,114962691320600,5314514.5,1.03507,28,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,16,208,"[22, 14, 14, 2, 22, 14, 14, 2, 22, 14, 14, 2, 22, 14, 14, 2]",22n-14n-14n-2o,,703,718
22,2,22N-5N-5N-5N-5N-5N-5N-5N-2N-22N-5N-5N-5N-5N-5N-5N-5N-2N,25.0,Config6,56.00000000000001,1,52.5,0.6331620103332579,12.14,204,307,115032568707200,115032573373100,4661492.0,1.273462,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,18,118,"[22, 5, 5, 5, 5, 5, 5, 5, 2, 22, 5, 5, 5, 5, 5, 5, 5, 2]",22n-5n-5n-5n-5n-5n-5n-5n-2o,,662,718
22,2,22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N,25.0,Config5,59.0,478,52.0,0.6264450876011751,12.22,200,311,115026402907900,115026408605000,5732982.5,1.10195,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,32,240,"[22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2]",22n-6n-6n-6n-6n-6n-6n-2o,,708,718
